name,bugs,code_smells,vulnerabilities
TrazAqui,16,359,0
TrazAqui_0,17,447,0
TrazAqui_10,19,463,0
TrazAqui_12,21,445,0
TrazAqui_13,10,200,0
TrazAqui_14,24,663,0
TrazAqui_15,9,251,0
TrazAqui_16,21,447,0
TrazAqui_17,21,488,0
TrazAqui_18,16,555,0
TrazAqui_19,16,295,0
TrazAqui_2,6,339,0
TrazAqui_20,6,203,0
TrazAqui_21,9,242,0
TrazAqui_22,13,455,0
TrazAqui_23,25,750,0
TrazAqui_24,27,359,0
TrazAqui_25,29,316,0
TrazAqui_28,29,297,0
TrazAqui_29,7,253,0
TrazAqui_3,15,317,0
TrazAqui_30,20,324,0
TrazAqui_34,21,398,0
TrazAqui_37,28,566,0
TrazAqui_38,0,0,0
TrazAqui_39,74,512,0
TrazAqui_4,13,327,0
TrazAqui_40,15,211,0
TrazAqui_42,22,383,0
TrazAqui_43,15,388,0
TrazAqui_44,12,256,0
TrazAqui_45,8,252,0
TrazAqui_48,19,427,0
TrazAqui_49,11,319,0
TrazAqui_5,0,344,0
TrazAqui_50,4,175,0
TrazAqui_51,14,186,0
TrazAqui_53,13,405,0
TrazAqui_54,4,398,0
TrazAqui_55,20,283,0
TrazAqui_56,15,550,0
TrazAqui_57,16,203,0
TrazAqui_58,19,212,0
TrazAqui_59,16,232,0
TrazAqui_6,25,336,0
TrazAqui_62,0,0,0
TrazAqui_63,15,170,0
TrazAqui_64,60,393,0
TrazAqui_65,6,260,0
TrazAqui_67,8,150,0
TrazAqui_69,9,524,0
TrazAqui_7,33,343,0
TrazAqui_70,16,343,0
TrazAqui_71,17,304,0
TrazAqui_74,39,498,0
TrazAqui_75,0,0,0
TrazAqui_76,21,263,0
TrazAqui_77,32,302,0
TrazAqui_78,30,605,3
TrazAqui_79,15,321,0
TrazAqui_8,11,294,0
TrazAqui_80,0,0,0
TrazAqui_81,17,427,0
TrazAqui_82,21,267,0
TrazAqui_83,30,815,0
TrazAqui_84,15,253,0
TrazAqui_85,20,245,0
TrazAqui_86,14,299,0
TrazAqui_87,15,348,0
TrazAqui_88,18,153,0
TrazAqui_89,9,705,0
TrazAqui_90,31,232,0
TrazAqui_91,17,153,0
TrazAqui_93,12,204,0
TrazAqui_95,17,195,0
TrazAqui_97,8,318,0
TrazAqui_98,3,665,0
